"id","email","phone","password_hash","role_id","status","full_name","address","created_at","updated_at"
"052c455a-032b-5d14-aa0d-e5e173549d76","diab.cham.soc.suc.khoe.web3@partner.voucherhub.vn","0903300001","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Diab Chăm Sóc Sức Khỏe","DiaB hiện đã có trên LifeLink với quy trình đăng ký nhanh chóng, ưu đãi hấp dẫn và dịch vụ chuyên nghiệp. S","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"ca34ee02-cbb3-5829-b841-1b4d4404b0b6","nha.hang.imeatu.web3@partner.voucherhub.vn","0903300002","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Nhà Hàng Imeatu","ImeatU"" sẽ là lựa chọn hoàn hảo cho một bữa tiệc nướng ấm áp, tròn vị vào những ngày đông của Hà Nội","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"3562477e-c530-5a92-8e6d-9fc8a809decb","he.thong.tham.my.vien.ngoc.dung.web3@partner.voucherhub.vn","0903300003","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Hệ Thống Thẩm Mỹ Viện Ngọc Dung","32-34-36 Đường 3/2, Phường 12, Quận 10, TP.HCM","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"b5dbd657-6d4a-5a76-97d9-5baa20eeed73","btaskee.web3@partner.voucherhub.vn","0903300004","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện bTaskee","tất cả thành phố bTaskee hoạt đông: TP. Hồ Chí Minh","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"a98900fb-f699-5e0b-a2c6-a0d3ed7fb6cd","potico.vn.web3@partner.voucherhub.vn","0903300005","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Potico.vn","Áp dụng tại toàn bộ hệ thống cửa hàng trên toàn quốc","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"17bc855f-5058-535c-87b7-12de94bc033c","show.thuc.canh.anh.hung.co.lau.web3@partner.voucherhub.vn","0903300006","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Show Thực Cảnh Anh Hùng Cờ Lau","Khu di tích Cố Đô Hoa Lư, Xã Trường Yên, Huyện Hoa Lư, Ninh Bình","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"f5b98483-8c54-54f2-a6ea-9f3d0b379c70","lotteria.web3@partner.voucherhub.vn","0903300007","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Lotteria","106 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"419c4b61-f377-5e6f-b7bf-bf53cbcf0981","saga.coffee.capital.place.web3@partner.voucherhub.vn","0903300008","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Saga Coffee (Capital Place)","Tầng B1, Toà Nhà Capital Place, 29 Liễu Giai, Ba Đình, Hà Nội","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"347d2ce9-3172-5636-a2cd-1c2a82fa6662","yuhua.lau.dai.loan.web3@partner.voucherhub.vn","0903300009","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Yuhua Lẩu Đài Loan","291B Lê Văn Sỹ, Phường Tân Sơn Hòa, Quận Tân Bình, TP.HCM","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"a4c645bc-4509-5f3c-b8e3-3fb9cd87e7c2","he.thong.suon.muoi.web3@partner.voucherhub.vn","0903300010","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Hệ Thống Sườn Mười","128 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6a8c7b7f-27b3-5df5-8cec-11e54443f1b1","he.thong.kidzooona.web3@partner.voucherhub.vn","0903300011","$2b$10$wB.fzs.yyUvSxM4nu2x6duc/oEiqKfeu8u5MFXnLswLBh2lTJcRf.","3","active","Đại Diện Hệ Thống Kidzooona","Tầng 3, TTTM Aeon Mall Long Biên, 27 Cổ Linh, Long Biên, Hà Nội","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
